sample,site,num,AB,S+AF8-XS,date,temp+AF8-c,ms+AF8-cm,do+AF8-percent,do+AF8-ch,ft,ph,wind+AF8-direction,sample+AF8-num,type,section,geology
WIT+AF8-3B,WIT,3,B,NA,July+AF8-1,18.943,0.583,139.733,43.733,33.193,9.107,N+AF8-S,WIT+AF8-3,Pipeline trough,SAT,Basalt
WIT+AF8-4A,WIT,4,A,NA,July+AF8-8,18.887,0.691,63.367,36.233,33.164,8.543,,WIT+AF8-4,Pipeline trough,SAT,Basalt
WIT+AF8-4B,WIT,4,B,NA,July+AF8-8,18.887,0.691,63.367,36.233,33.164,8.543,,WIT+AF8-4,Pipeline trough,SAT,Basalt
KWA+AF8-6B+AF8-XS,KWA,6,B,XS,June+AF8-26,16.497,1.751,111.933,45.100,33.143,9.510,SE+AF8-NW,KWA+AF8-6,Borehole,SKZ,Granite
NGO+AF8-3A+AF8-XS,NGO,3,A,XS,July+AF8-1,17.257,0.477,108.433,40.000,33.317,9.453,None,NGO+AF8-3,Pipeline trough,HOU,Basalt
NGO+AF8-3B+AF8-XS,NGO,3,B,XS,July+AF8-1,17.257,0.477,108.433,40.000,33.317,9.453,None,NGO+AF8-3,Pipeline trough,HOU,Basalt
NWA+AF8-2A+AF8-XS,NWA,2,A,XS,June+AF8-26,16.137,0.903,106.667,44.767,33.186,9.770,None,NWA+AF8-2,Borehole,SKZ,Granite
NWA+AF8-2B+AF8-XS,NWA,2,B,XS,June+AF8-26,16.137,0.903,106.667,44.767,33.186,9.770,None,NWA+AF8-2,Borehole,SKZ,Granite
NYA+AF8-4A+AF8-XS,NYA,4,A,XS,July+AF8-8,18.297,0.553,76.933,37.633,33.255,8.817,,NYA+AF8-4,Pipeline trough,HOU,Basalt
NYA+AF8-4B+AF8-XS,NYA,4,B,XS,July+AF8-8,18.297,0.553,76.933,37.633,33.255,8.817,,NYA+AF8-4,Pipeline trough,HOU,Basalt
